label, correctness, w1, w2, features
Yes	Correct	set		list	[[[  0.           1.          51.           0.39886846   0.5          2.        ]]]
No	Correct	adoption process		dynamic dump	[[[ 0.          1.          0.          0.21727458  0.55555556  0.        ]]]
No	Correct	fault dictionary		microword	[[[ 0.          0.          0.          0.31943131  0.          1.        ]]]
No	Correct	object identifier		channel capacity	[[[ 0.          1.          0.          0.16411132  0.36363636  0.        ]]]
No	Correct	complexity points		direct metric value	[[[ 0.          0.          0.          0.41850319  0.75        0.        ]]]
No	Correct	development project function point count		assignment statement	[[[ 0.          0.          0.          0.06845743  0.625       0.        ]]]
Yes	Correct	set		bag	[[[  0.           1.          46.           0.39522417   0.8          2.        ]]]
No	Correct	state name		domain analysis	[[[ 0.          1.          0.          0.18278076  0.5         0.        ]]]
No	Correct	event synchronization		recovery	[[[ 0.          0.          0.          0.18820075  0.66666667  1.        ]]]
No	Correct	data management		computer software configuration item	[[[ 0.          0.          0.          0.31084622  0.42857143  0.        ]]]
No	Correct	back-to-back testing		reproducibility	[[[ 0.          0.          0.          0.38765754  0.23529412  1.        ]]]
No	Correct	operational testing		call list	[[[ 0.          1.          0.          0.12551582  0.33333333  0.        ]]]
Yes	Correct	set		scenario	[[[  0.           1.          25.           0.29734175   0.36363636   2.        ]]]
No	Correct	operational testing		pager	[[[ 0.          0.          0.          0.16707433  0.15384615  1.        ]]]
No	Correct	project organization chart		planning package	[[[ 0.          0.          0.          0.2855569   0.58823529  0.        ]]]
No	Correct	coincidental cohesion		config spec	[[[ 0.          1.          0.          0.20231266  0.28571429  0.        ]]]
No	Correct	coincidental cohesion		dynamic analysis	[[[ 0.          1.          0.          0.27291144  0.33333333  0.        ]]]
No	Correct	fault isolation		developer unit	[[[ 0.          1.          0.          0.22651735  0.5         0.        ]]]
Yes	Correct	linker		linkage editor	[[[  0.          0.         45.          0.8124083   0.          1.       ]]]
No	Incorrect	data exception		inherited error	[[[ 0.          1.          0.          0.54053593  0.66666667  0.        ]]]
No	Correct	data exception		data coupling	[[[ 1.          1.          0.          0.43206131  0.16666667  0.        ]]]
No	Correct	data exception		intermittent fault	[[[ 0.          1.          0.          0.39704627  0.66666667  0.        ]]]
No	Correct	data exception		real address	[[[ 0.          1.          0.          0.26661901  0.8         0.        ]]]
No	Correct	consecutive		quality assurance	[[[ 0.         0.         0.         0.1723596  0.         1.       ]]]
Yes	Correct	concurrent		simultaneous	[[[  0.           1.          27.           0.34845539   1.           2.        ]]]
No	Correct	Petri net		cyclic search	[[[ 0.          1.          0.          0.17491736  0.5         0.        ]]]
No	Correct	storage capacity		robust	[[[ 0.          0.          0.          0.31025556  0.          1.        ]]]
No	Correct	simulation		offset	[[[ 0.          1.          0.          0.20975664  0.66666667  2.        ]]]
No	Correct	remote terminal emulator		downward compatible	[[[ 0.          0.          0.          0.24324451  0.          0.        ]]]
No	Correct	interrupt latency		continuous representation	[[[ 0.          1.          0.          0.12215372  0.61538462  0.        ]]]
Yes	Correct	concurrent		parallel	[[[  0.          1.         54.          0.4589328   0.          2.       ]]]
No	Incorrect	mvp		maintained	[[[ 0.          1.          0.          0.24751479  0.18181818  2.        ]]]
No	Correct	scrum framework		static analysis	[[[ 0.          1.          0.          0.19418098  0.47619048  0.        ]]]
No	Correct	output measure		contravariance	[[[ 0.          0.          0.          0.27894154  0.          1.        ]]]
No	Correct	output measure		Information-based domain	[[[ 0.          1.          0.          0.20142566  0.57142857  0.        ]]]
No	Correct	pseudocode		help text	[[[ 0.          0.          0.          0.36046315  0.          1.        ]]]
Yes	Correct	routine		coroutine	[[[  0.00000000e+00   1.00000000e+00   6.68000000e+02   2.42247340e-01
     0.00000000e+00   2.00000000e+00]]]
No	Incorrect	operational product		performing organization	[[[ 0.          1.          0.          0.50893992  0.54545455  0.        ]]]
No	Incorrect	lead		read	[[[  0.           1.          21.           0.13797592   0.66666667   2.        ]]]
No	Correct	inverse engineering		support manual	[[[ 0.          1.          0.          0.12020691  0.66666667  0.        ]]]
No	Correct	inverse engineering		systems integration testing	[[[ 0.          0.          0.          0.24900109  0.66666667  0.        ]]]
No	Correct	data element type		program status word	[[[ 0.          1.          0.          0.23909358  0.5         0.        ]]]
Yes	Incorrect	routine		architecture	[[[ 0.          1.          1.          0.22277702  0.70588235  2.        ]]]
No	Correct	class-level responsibility		robustness	[[[ 0.          0.          0.          0.42605993  0.5         1.        ]]]
No	Correct	fault masking		absolute assembler	[[[ 0.          1.          0.          0.2545771   0.22222222  0.        ]]]
No	Correct	process assessment model		reserved word in a computer language	[[[ 0.          0.          0.          0.16286725  0.57142857  0.        ]]]
No	Correct	process asset library		real-world object	[[[ 0.          0.          0.          0.48205103  0.54545455  0.        ]]]
No	Correct	operator manual		magic number	[[[ 0.          1.          0.          0.19170732  0.75        0.        ]]]
Yes	Correct	routine		subroutine	[[[  0.00000000e+00   1.00000000e+00   6.01000000e+02   3.68585358e-01
     1.00000000e+00   2.00000000e+00]]]
No	Correct	record type		interpretive code	[[[ 0.          1.          0.          0.19207648  0.54545455  0.        ]]]
No	Correct	customization		cross-assembler	[[[ 0.         1.         0.         0.0846229  0.         2.       ]]]
No	Correct	readability		exploration	[[[ 0.          1.          0.          0.18103004  0.28571429  2.        ]]]
No	Correct	readability		prioritized list	[[[ 0.          0.          0.          0.33855262  0.36363636  1.        ]]]
No	Correct	readability		internal logical file	[[[ 0.          0.          0.          0.29092673  0.30769231  1.        ]]]
Yes	Correct	routine		subprogram	[[[   0.            1.          210.            0.33813573    1.            2.        ]]]
No	Incorrect	widget		page	[[[   0.            1.          105.            0.32789679    0.44444444
      2.        ]]]
No	Incorrect	hierarchy		database	[[[ 0.          1.          5.          0.2560984   0.33333333  2.        ]]]
No	Correct	relocatable code		secondary window	[[[ 0.          1.          0.          0.19635031  0.36363636  0.        ]]]
No	Correct	relocatable code		data inventory	[[[ 0.          1.          0.          0.20790465  0.5         0.        ]]]
No	Incorrect	program instruction		error message	[[[ 0.          1.          1.          0.21889259  0.88888889  0.        ]]]
Yes	Correct	routine		main program	[[[  0.           0.          15.           0.29523466   0.88888889   1.        ]]]
No	Correct	nonprocedural programming language		perform quality assurance	[[[ 0.          1.          0.          0.16458118  0.6         0.        ]]]
No	Correct	transaction transparency		symbolic trace	[[[ 0.          1.          0.          0.24491348  0.77777778  0.        ]]]
No	Correct	transaction transparency		convention	[[[ 0.          0.          0.          0.35031673  0.61538462  1.        ]]]
No	Correct	probability and impact matrix		Boolean signature	[[[ 0.          0.          0.          0.1888045   0.70588235  0.        ]]]
No	Correct	design architecture		slave state	[[[ 0.          1.          0.          0.14338576  0.54545455  0.        ]]]
Yes	Correct	consecutive		sequential	[[[ 0.          1.          4.          0.41547671  1.          2.        ]]]
No	Correct	domain architecture		version description document	[[[ 0.          0.          0.          0.29002003  0.625       0.        ]]]
No	Correct	critical design review		garbage collection	[[[ 0.          0.          0.          0.14906778  0.85714286  0.        ]]]
No	Correct	absolute code		four-address instruction	[[[ 0.          1.          0.          0.30296925  0.93333333  0.        ]]]
No	Correct	absolute code		program library	[[[ 0.          1.          0.          0.19109138  0.4         0.        ]]]
No	Correct	resource-limited schedule		mixed mode	[[[ 0.          1.          0.          0.18346756  0.47058824  0.        ]]]
Yes	Correct	executive		supervisory program	[[[  0.           0.          38.          -1.           0.33333333   1.        ]]]
No	Correct	software test environment		capacity	[[[ 0.          0.          2.          0.16669833  0.61538462  1.        ]]]
No	Incorrect	data communications GSC		up	[[[  0.           0.          35.           0.17876976   0.           1.        ]]]
No	Correct	bathtub curve		measurement sponsor	[[[ 0.          1.          0.          0.23622851  0.42857143  0.        ]]]
No	Correct	action entry		bill of materials	[[[ 0.          0.          0.          0.07613041  0.72727273  0.        ]]]
No	Correct	transparency		initial marking of a place	[[[ 0.          0.          0.          0.30667923  0.5         1.        ]]]
Yes	Incorrect	variable trace		logical cohesion	[[[ 0.          1.          0.          0.23798203  0.33333333  0.        ]]]
No	Correct	diagram number		risk management plan	[[[ 0.          0.          0.          0.07746598  0.6         0.        ]]]
No	Correct	function-oriented design		development specification	[[[ 0.          1.          0.          0.37441624  0.63157895  0.        ]]]
No	Correct	function-oriented design		deep	[[[ 0.          0.          2.          0.37373755  0.46153846  1.        ]]]
No	Correct	requirements specification language		remote job entry	[[[ 0.          1.          0.          0.05964487  0.66666667  0.        ]]]
No	Correct	function point table		homogeneous redundancy	[[[ 0.          0.          0.          0.23880353  0.30769231  0.        ]]]
Yes	Incorrect	storage capacity		measurement standard	[[[ 0.          1.          0.          0.28290215  0.6         0.        ]]]
No	Correct	continuous deployment		bubble chart	[[[ 0.          1.          0.          0.10994484  0.30769231  0.        ]]]
No	Correct	modifiable		external interface requirement	[[[ 0.          0.          0.          0.18798107  0.          1.        ]]]
No	Incorrect	project management software		external	[[[ 0.          0.          4.          0.09943289  0.22222222  1.        ]]]
